ext_no	num_t	p_size	qm.dbh	sd	sp	lati.	long.	alti.	slope	azimuth	m.age	cv.age	maxh1	maxh2	sp.k
43	14	0.09	0.494527191221214	155.555555555556	PDe	37	128.8	634	13	33	70.6	0.0683712089866695	24.1	22.9	강원지방소나무
44	16	0.02	0.174208029378671	800	PDe	36.9	128.82	611	3	350	27.4	0.160334909755393	12.9	13.9	강원지방소나무
45	13	0.01	0.185519022454054	1300	PDe	37	128.82	572	0	50	30.4	0.168695807959975	22.1	17.5	강원지방소나무
46	44	0.04	0.187503999957334	1100	QAt	34.36	126.68	314	15	200	34.2	0.25607759117908	14.3	14.9	붉가시나무
46	44	0.04	0.187503999957334	1100	QAt	34.36	126.68	314	15	200	34.2	0.25607759117908	14.3	14.9	쪽동백나무
46	44	0.04	0.187503999957334	1100	QAt	34.36	126.68	314	15	200	34.2	0.25607759117908	14.3	14.9	산벚나무
46	44	0.04	0.187503999957334	1100	QAt	34.36	126.68	314	15	200	34.2	0.25607759117908	14.3	14.9	졸참나무
47	81	0.04	0.161034924515088	2025	QAt	34.36	126.68	268	15	200	30.4	0.213942270283014	15.1	12.6	붉가시나무
47	81	0.04	0.161034924515088	2025	QAt	34.36	126.68	268	15	200	30.4	0.213942270283014	15.1	12.6	졸참나무
47	81	0.04	0.161034924515088	2025	QAt	34.36	126.68	268	15	200	30.4	0.213942270283014	15.1	12.6	산벚나무
47	81	0.04	0.161034924515088	2025	QAt	34.36	126.68	268	15	200	30.4	0.213942270283014	15.1	12.6	동백나무
47	81	0.04	0.161034924515088	2025	QAt	34.36	126.68	268	15	200	30.4	0.213942270283014	15.1	12.6	자귀나무
47	81	0.04	0.161034924515088	2025	QAt	34.36	126.68	268	15	200	30.4	0.213942270283014	15.1	12.6	서어나무
47	81	0.04	0.161034924515088	2025	QAt	34.36	126.68	268	15	200	30.4	0.213942270283014	15.1	12.6	때죽나무
48	90	0.04	0.152898986262172	2250	QAt	34.36	126.68	292	10	200	21.4	0.300304093702049	54	14.9	붉가시나무
48	90	0.04	0.152898986262172	2250	QAt	34.36	126.68	292	10	200	21.4	0.300304093702049	54	14.9	동백나무
48	90	0.04	0.152898986262172	2250	QAt	34.36	126.68	292	10	200	21.4	0.300304093702049	54	14.9	산벚나무
48	90	0.04	0.152898986262172	2250	QAt	34.36	126.68	292	10	200	21.4	0.300304093702049	54	14.9	때죽나무
48	90	0.04	0.152898986262172	2250	QAt	34.36	126.68	292	10	200	21.4	0.300304093702049	54	14.9	고로쇠나무
48	90	0.04	0.152898986262172	2250	QAt	34.36	126.68	292	10	200	21.4	0.300304093702049	54	14.9	서어나무
